date,Rionegro.mean_pm25,Rionegro.mean_s,Rionegro.mean_t,id
9/18/2020 10:07:20.000000000 AM,,,,Rionegro
9/18/2020 10:07:22.500000000 AM,,,,Rionegro
9/18/2020 10:07:25.000000000 AM,,,,Rionegro
9/18/2020 10:07:27.500000000 AM,9,40,25,Rionegro
9/18/2020 10:07:30.000000000 AM,,,,Rionegro
9/18/2020 10:07:32.500000000 AM,,,,Rionegro
9/18/2020 10:07:35.000000000 AM,,,,Rionegro
9/18/2020 10:07:37.500000000 AM,,,,Rionegro
9/18/2020 10:07:40.000000000 AM,8,40,26,Rionegro
9/18/2020 10:07:42.500000000 AM,,,,Rionegro
9/18/2020 10:07:45.000000000 AM,,,,Rionegro
9/18/2020 10:07:47.500000000 AM,,,,Rionegro
9/18/2020 10:07:50.000000000 AM,,,,Rionegro
9/18/2020 10:07:52.500000000 AM,,,,Rionegro
9/18/2020 10:07:55.000000000 AM,,,,Rionegro
9/18/2020 10:07:57.500000000 AM,8,40,25,Rionegro
9/18/2020 10:08:00.000000000 AM,,,,Rionegro
9/18/2020 10:08:02.500000000 AM,,,,Rionegro
9/18/2020 10:08:05.000000000 AM,,,,Rionegro
9/18/2020 10:08:07.500000000 AM,,,,Rionegro
9/18/2020 10:08:10.000000000 AM,8,40,25,Rionegro
9/18/2020 10:08:12.500000000 AM,,,,Rionegro
9/18/2020 10:08:15.000000000 AM,,,,Rionegro
9/18/2020 10:08:17.500000000 AM,,,,Rionegro
9/18/2020 10:08:20.000000000 AM,,,,Rionegro
9/18/2020 10:08:22.500000000 AM,,,,Rionegro
9/18/2020 10:08:25.000000000 AM,,,,Rionegro
9/18/2020 10:08:27.500000000 AM,8,40,25,Rionegro
9/18/2020 10:08:30.000000000 AM,,,,Rionegro
9/18/2020 10:08:32.500000000 AM,,,,Rionegro
9/18/2020 10:08:35.000000000 AM,,,,Rionegro
9/18/2020 10:08:37.500000000 AM,,,,Rionegro
9/18/2020 10:08:40.000000000 AM,9,40,25,Rionegro
9/18/2020 10:08:42.500000000 AM,,,,Rionegro
9/18/2020 10:08:45.000000000 AM,,,,Rionegro
9/18/2020 10:08:47.500000000 AM,,,,Rionegro
9/18/2020 10:08:50.000000000 AM,,,,Rionegro
9/18/2020 10:08:52.500000000 AM,,,,Rionegro
